Franchise,Total,Releases,Top Release,Domestic Lifetime Gross,Budget,Studio,Rating,Runtime,Average Critic Score,Average Audience Score,Main Actor
Rio,"275,158,244",2,Rio,"143,619,809","90,000,000",Twentieth Century Fox,PG,96,63,6.9,Jesse Eisenberg
Mary Poppins,"274,231,165",4,Mary Poppins Returns,"171,958,438","130,000,000",Walt Disney Studios Motion Pictures,PG,130,66,6.7,Emily Blunt
Resident Evil,"271,274,006",6,Resident Evil: Afterlife,"60,128,566","60,000,000",Screen Gems,R,96,37,5.8,Milla Jovovich
The Smurfs,"269,886,444",4,The Smurfs,"142,614,158","110,000,000",Sony Pictures Releasing,PG,103,30,5.4,Hank Azaria
Kingsman Franchise,"265,672,935",3,Kingsman: The Secret Service,"128,261,724","81,000,000",Twentieth Century Fox,R,129,60,7.7,Colin Firth
Mamma Mia!,"264,965,504",3,Mamma Mia!,"144,290,968","52,000,000",Universal Pictures,PG-13,108,51,6.5,Meryl Streep
Annabelle,"260,529,044",4,Annabelle: Creation,"102,092,201","15,000,000",Warner Bros.,R,109,62,6.5,Anthony LaPaglia
Trolls,"257,894,244",4,Trolls,"153,856,089","125,000,000",Twentieth Century Fox,PG,92,55,6.4,Anna Kendrick
Insidious,"257,559,485",4,Insidious: Chapter 2,"83,586,447","5,000,000",FilmDistrict,R,106,40,6.6,Patrick Wilson
Daddy's Home,"254,386,580",2,Daddy's Home,"150,357,137","50,000,000",Paramount Pictures,PG-13,96,42,6.2,Will Ferrell
SpongeBob,"253,222,810",3,The SpongeBob Movie: Sponge Out of Water,"162,994,032","74,000,000",Paramount Pictures,PG,92,62,6.0,Tom Kenny
Underworld,"252,766,892",5,Underworld: Awakening,"62,321,039","70,000,000",Screen Gems,R,88,39,6.3,Kate Beckinsale
The Godfather,"250,977,060",7,The Godfather,"133,698,921","6,000,000",Paramount Pictures,R,175,100,9.2,Marlon Brando
The Croods,"245,737,240",2,The Croods,"187,168,425","135,000,000",Twentieth Century Fox,PG,98,55,7.1,Nicolas Cage
Cloudy with a Chance of Meatballs,"244,663,842",2,Cloudy with a Chance of Meatballs,"124,870,275","100,000,000",Sony Pictures Releasing,PG,90,66,6.9,Anna Faris
The Expendables,"244,129,413",4,The Expendables,"103,068,524","80,000,000",Lionsgate,R,103,45,6.4,Slyvester Stallone
Maze Runner,"242,157,497",3,The Maze Runner,"102,427,862","3,400,000",Twentieth Century Fox,PG-13,113,57,6.8,Dylan O'Brien
Scooby-Doo,"239,749,631",5,Scooby-Doo,"153,294,164","84,000,000",Warner Bros.,PG,89,35,5.3,Matthew Lillard
Dumb and Dumber,"239,674,802",4,Dumb and Dumber,"127,175,374","17,000,000",New Line Cinema,PG-13,107,41,7.3,Jim Carrey
Police Academy,"239,643,235",7,Police Academy,"81,198,894","4,500,000",Warner Bros.,R,96,41,6.7,Steve Guttenberg
The Ring,"233,152,400",3,The Ring,"129,128,133","48,000,000",DreamWorks Distribution,PG-13,115,57,7.1,Naomi Watts
Barbershop,"231,303,693",5,Barbershop,"75,782,105","12,000,000",Metro-Goldwyn-Mayer(MGM),PG-13,102,66,6.3,Ice Cube
Fallen,"230,480,336",3,Olympus Has Fallen,"98,925,640","70,000,000",FilmDistrict,R,119,41,6.5,Gerard Butler
Dirty Harry,"227,538,483",6,Sudden Impact,"67,642,693","22,000,000",Warner Bros.,R,117,52,6.6,Clint Eastwood
Ride Along,"226,160,030",2,Ride Along,"134,938,200","25,000,000",Universal Pictures,PG-13,99,41,6.1,Ice Cube
Big Momma,"225,640,824",3,Big Momma's House,"117,559,438","30,000,000",Twentieth Century Fox,PG-13,99,33,5.3,Martin Lawrence
Creed,"225,494,772",3,Creed II,"115,715,889","50,000,000",Metro-Goldwyn-Mayer(MGM),PG-13,130,66,7.1,Michael B. Jordan
Paul Blart,"217,374,368",2,Paul Blart: Mall Cop,"146,336,178","26,000,000",Sony Pictures Releasing,PG-13,91,39,5.3,Kevin James
The Naked Gun,"216,819,186",3,The Naked Gun 2½: The Smell of Fear,"86,930,411","23,000,000",Paramount Pictures,PG-13,85,65,6.9,Leslie Nielson
Rugrats,"216,405,003",3,The Rugrats Movie,"100,494,675","24,000,000",Paramount Pictures,PG,79,62,5.9,Elizabeth Daily
Step Up,"215,725,188",5,Step Up,"65,328,121","12,000,000",Walt Disney Studios Motion Pictures,PG-13,104,48,6.5,Channing Tatum
xXx Trilogy,"213,881,727",3,xXx,"142,109,382","70,000,000",Revolution Studios,PG-13,124,48,5.8,Vin Diesel
Winnie the Pooh,"212,664,277",5,Christopher Robin,"99,215,042","75,000,000",Walt Disney Studios Motion Pictures,PG,104,60,7.2,Ewan McGregor
Neighbors,"205,613,165",2,Neighbors,"150,157,400","18,000,000",Universal Pictures,R,97,68,6.3,Seth Rogen
Journey to the Center of the Earth,"205,592,118",3,Journey 2: The Mysterious Island,"103,860,290","79,000,000",Warner Bros.,PG,94,41,5.7,Josh Hutcherson
Tron,"205,062,763",2,Tron: Legacy,"172,062,763","170,000,000",Walt Disney Studios Motion Pictures,PG,125,49,6.8,Jeff Bridges
Blade,"204,847,943",3,Blade II,"82,348,319","54,000,000",New Line Cinema,R,117,52,6.7,Wesley Snipes
Snow White and the Huntsman,"203,722,571",2,Snow White and the Huntsman,"155,332,381","170,000,000",Universal Pictures,PG-13,127,57,6.1,Kristen Stewart
World War Z,"202,807,711",2,World War Z,"202,359,711","190,000,000",Paramount Pictures,PG-13,116,63,7,Brad Pitt
Herbie the Love Bug,"202,516,816",7,Herbie: Fully Loaded,"66,023,816","50,000,000",Walt Disney Studios Motion Pictures,PG,101,47,4.9,Lindsay Lohan
Texas Chainsaw Massacre,"199,267,695",8,The Texas Chainsaw Massacre,"80,571,655","9,500,000",New Line Cinema,R,98,38,6.2,Jessica Biel
Smokey and the Bandit,"198,549,004",3,Smokey and the Bandit,"126,737,428","4,300,000",Universal Pictures,PG,96,50,7,Burt Reynolds
Look Who's Talking,"198,218,150",3,Look Who's Talking,"140,088,813","7,500,000",TriStar Pictures,PG,93,51,5.9,John Travolta
Shazam!,"198,118,055",3,Shazam!,"140,371,656","100,000,000",Warner Bros.,PG-13,132,71,7,Zachary Levi
Gremlins,"195,124,387",5,Gremlins,"148,168,459","11,000,000",Warner Bros.,PG,106,70,7.3,Zach Galligan
Agatha Christie,"190,928,059",3,Murder on the Orient Express,"102,826,543","55,000,000",Twentieth Century Fox,PG-13,114,52,6.5,Kenneth Branagh
Blair Witch,"187,753,254",3,The Blair Witch Project,"140,539,099","60,000",Artisan Entertainment,R,81,80,6.5,Heather Donahue
Legally Blonde,"186,707,002",2,Legally Blonde,"96,520,674","18,000,000",Metro-Goldwyn-Mayer(MGM),PG-13,96,59,6.5,Reese Witherspoon
Diary of a Wimpy Kid,"186,449,546",4,Diary of a Wimpy Kid,"64,003,625","15,000,000",Twentieth Century Fox,PG,94,56,6.2,Zachary Gordan
Bad Moms,"185,367,956",2,Bad Moms,"113,257,297","20,000,000",STX Entertainment,R,100,60,6.2,Mila Kunis
Now You See Me,"182,799,529",2,Now You See Me,"117,723,989","75,000,000",Lionsgate,PG-13,115,50,7.2,Jesse Eisenberg
The Omen,"182,612,902",5,The Omen,"60,922,980","2,800,000",Twentieth Century Fox,R,111,62,7.5,Gregory Peck
Poltergeist,"179,713,579",6,Poltergeist,"76,606,280","10,700,000",Metro-Goldwyn-Mayer(MGM),PG,114,79,7.3,Craig T. Nelson
Smile,"174,947,634",2,Smile,"105,935,048","17,000,000",Paramount Pictures,R,115,68,6.5,Sosie Bacon
Amityville,"170,534,063",5,The Amityville Horror,"86,432,000","4,700,000",American International Pictures (AIP),R,117,28,6.2,James Brolin
Speed,"169,856,211",2,Speed,"121,248,145","30,000,000",Twentieth Century Fox,R,116,78,7.3,Keanu Reeves
Robocop,"168,409,071",4,RoboCop,"58,607,007","100,000,000",Sony Pictures Releasing,PG-13,117,52,6.1,Joel Kinnaman
Porky's,"165,567,844",4,Porky's,"105,492,483","4,000,000",Twentieth Century Fox,R,94,40,6.2,Dan Monahan
Paddington Bear,"162,949,882",4,Paddington,"76,271,832","55,000,000",Dimension Films,PG,95,77,7.3,Hugh Bonneville
Pacific Rim,"161,677,431",2,Pacific Rim,"101,802,906","190,000,000",Warner Bros.,PG-13,131,65,6.9,Charlie Hunnam
Space Jam,"161,187,190",3,Space Jam,"90,418,342","80,000,000",Warner Bros.,PG,88,57,6.5,Michael Jordan
Alex Cross,"160,494,459",3,Along Came a Spider,"74,078,174","60,000,000",Paramount Pictures,R,104,42,6.4,Morgan Freeman
Hellboy,"157,514,209",3,Hellboy II: The Golden Army,"75,986,503","85,000,000",Universal Pictures,PG-13,120,78,7,Ron Perlman
Think Like a Man,"156,729,387",2,Think Like a Man,"91,547,205","12,000,000",Screen Gems,PG-13,123,51,6.5,Kevin Hart
Peter Rabbit,"155,755,141",2,Peter Rabbit,"115,253,424","50,000,000",Sony Pictures Releasing,PG,95,51,6.6,James Corden
Child's Play,"155,399,337",6,Child's Play,"33,244,684","9,000,000",United Artists,R,87,58,6.7,Catherine Hicks
Cloverfield,"152,131,431",2,Cloverfield,"80,048,433","25,000,000",Paramount Pictures,PG-13,85,64,7,Mike Vogel
Planes,"149,454,499",2,Planes,"90,288,712","50,000,000",Walt Disney Studios Motion Pictures,PG,91,39,5.7,Dane Cook
Angry Birds,"149,176,482",2,The Angry Birds Movie,"107,509,366","73,000,000",Sony Pictures Releasing,PG,97,43,6.3,Jason Sudeikis
Zombieland,"148,713,368",2,Zombieland,"75,590,286","23,600,000",Sony Pictures Releasing,R,88,73,7.5,Woody Harrelson
Red,"143,642,722",2,Red,"90,380,162","58,000,000",Summit Entertainment,PG-13,111,60,7,Bruce Willis
Arthur,"143,178,271",3,Arthur,"95,461,682","7,000,000",Warner Bros.,PG,97,69,6.9,Dudley Moore
Riddick,"139,026,806",3,The Chronicles of Riddick,"57,761,012","105,000,000",Universal Pictures,PG-13,119,38,6.6,Vin Diesel
Jack Reacher,"138,767,812",2,Jack Reacher,"80,070,736","60,000,000",Paramount Pictures,PG-13,130,50,7,Tom Cruise
Bridget Jones's Trilogy,"136,022,062",3,Bridget Jones's Diary,"71,543,427","25,000,000",Miramax,R,97,66,6.8,Renee Zellweger
Power Rangers,"131,915,780",3,Power Rangers,"85,364,450","100,000,000",Lionsgate,PG-13,124,44,5.9,Darce Montgomery
Coming to America,"128,152,301",1,Coming to America,"128,152,301","36,000,000",Paramount Pictures,R,117,47,7.1,Eddie Murphy
Goosebumps,"126,781,012",2,Goosebumps,"80,080,379","58,000,000",Sony Pictures Releasing,PG,103,60,6.3,Jack Black
Blade Runner,"124,986,164",6,Blade Runner 2049,"92,054,159","150,000,000",Warner Bros.,R,164,81,8,Ryan Gosling
The Mighty Ducks,"119,317,844",3,The Mighty Ducks,"50,752,337","10,000,000",Walt Disney Studios Motion Pictures,PG,104,46,6.6,Emilio Estevez
Friday,"118,049,776",3,Next Friday,"57,328,603","11,000,000",New Line Cinema,R,98,41,6.1,Ice Cube
Dragon Tattoo,"117,357,131",2,The Girl with the Dragon Tattoo,"102,515,793","90,000,000",Sony Pictures Releasing,R,158,71,7.8,Daniel Craig
Transporter,"116,137,035",4,Transporter 2,"43,095,856","32,000,000",Twentieth Century Fox,PG-13,87,56,6.3,Jason Statham
Dolphin Tale,"114,311,312",2,Dolphin Tale,"72,286,779","37,000,000",Warner Bros.,PG,113,64,6.8,Harry Connick Jr.
The Hitman's Bodyguard,"113,483,310",2,The Hitman's Bodyguard,"75,468,583","30,000,000",Lionsgate,R,118,47,6.9,Ryan Reynolds
I Know What You Did Last Summer,"112,588,246",2,I Know What You Did Last Summer,"72,586,134","17,000,000",Sony Pictures Releasing,R,101,45,5.8,Jennifer Love Hewitt
Free Willy,"111,233,456",4,Free Willy,"77,698,625","20,000,000",Warner Bros.,PG,112,79,6.1,Jason James Richter
View Askewniverse,"106,770,558",7,Dogma,"30,652,890","10,000,000",Lionsgate,R,130,62,7.3,Ben Affleck
Paw Patrol,"105,470,680",2,PAW Patrol: The Mighty Movie,"65,343,309","30,000,000",Paramount Pictures,PG,88,49,5.9,Dan Duran
Best Man,"104,627,975",2,The Best Man Holiday,"70,525,195","17,000,000",Universal Pictures,R,123,59,6.6,Morris Chestnut
Witch Mountain,"103,565,594",3,Race to Witch Mountain,"67,172,594","50,000,000",Walt Disney Studios Motion Pictures,PG,98,52,5.7,Dwayne Johnson
Psycho,"102,873,491",4,Psycho II,"34,725,000","5,000,000",Universal Pictures,R,113,58,6.6,Anthony Perkins
Dark Universe,"100,935,175",2,The Mummy,"80,227,895","125,000,000",Universal Pictures,PG-13,111,50,7,Tom Cruise
Sicario,"96,961,528",2,Sicario: Day of the Soldado,"50,072,235","35,000,000",Sony Pictures Releasing,R,122,61,7.1,Benicio Del Toro
The Nut Job,"92,622,063",2,The Nut Job,"64,251,541","42,000,000",Open Road Films,PG,85,37,5.7,Will Arnett
Ernest,"92,334,369",5,Ernest Saves Christmas,"28,202,109","6,500,000",Walt Disney Studios Motion Pictures,PG,91,44,5.7,Jim Varney
Conan,"91,902,531",3,Conan the Barbarian,"39,565,475","20,000,000",Universal Pictures,R,129,43,6.9,Arnold Schwarzenegger
Harold and Kumar,"91,420,309",3,Harold & Kumar Escape from Guantanamo Bay,"38,108,728","12,000,000",Warner Bros.,R,114,57,6.5,John Cho
The Bad News Bears,"91,276,524",4,Bad News Bears,"32,868,349","35,000,000",Paramount Pictures,PG-13,113,65,5.8,Billy Bob Thornton
Benji,"89,575,053",5,Benji,"39,552,000","500,000",Mulberry Square Releasing,G,86,35,6.1,Peter Breck
Sin City,"87,861,624",2,Sin City,"74,103,820","40,000,000",Dimension Films,R,124,74,8,Mickey Rourke
A Dog's Franchise,"87,290,991",2,A Dog's Purpose,"64,508,620","22,000,000",Universal Pictures,PG,100,43,7.3,Josh Gad
God's Not Dead,"87,259,247",3,God's Not Dead,"60,755,732","2,000,000",Freestyle Releasing,PG,113,16,4.6,Shane Harper
Ouija,"86,000,515",2,Ouija,"50,856,010","5,000,000",Universal Pictures,PG-13,89,38,4.5,Olivia Cooke
Major League,"83,995,773",3,Major League,"49,797,148","11,000,000",Paramount Pictures,R,107,62,7.2,Charlie Sheen
Happy Death Day,"83,831,975",2,Happy Death Day,"55,683,845","4,800,000",Universal Pictures,PG-13,96,58,6.6,Jessica Rothe
El Mariachi,"83,806,145",3,Once Upon a Time in Mexico,"56,359,780","29,000,000",Sony Pictures Releasing,R,102,56,6.3,Antonio Banderas
Escape Room,"82,320,354",2,Escape Room,"57,005,601","9,000,000",Sony Pictures Releasing,PG-13,99,48,6.4,Taylor Russell
Bill & Ted,"81,962,212",3,Bill & Ted's Excellent Adventure,"40,485,039","10,000,000",Orion Pictures,PG,90,50,6.9,Keanu Reeves
Den of Thieves,"80,962,638",2,Den of Thieves,"44,947,622","30,000,000",STX Entertainment,R,140,49,7,Gerard Butler
Woman in Black,"80,834,613",2,The Woman in Black,"54,333,290","17,000,000",CBS Films,PG-13,95,62,6.4,Daniel Radcliffe
"Oh, God!","77,730,370",3,"Oh, God!","41,687,243","2,100,000",Warner Bros.,PG,98,56,6.6,John Denver
The Shining,"77,216,064",6,The Shining,"44,017,374","19,000,000",Warner Bros.,R,146,68,8.4,Jack Nicholson
Strangers,"77,184,318",2,The Strangers,"52,597,610","9,000,000",Rogue Pictures,R,96,47,6.1,Liv Tyler
Kick-Ass,"76,867,288",2,Kick-Ass,"48,071,303","30,000,000",Lionsgate,R,117,66,7.6,Aaron Taylor-Johnson
Jeepers Creepers,"75,906,555",3,Jeepers Creepers,"37,904,175","10,000,000",United Artists,R,90,49,6.2,Gina Philips
Sinister,"75,827,858",2,Sinister,"48,086,903","3,000,000",Lionsgate,R,110,53,6.8,Ethan Hawke
Evil Dead,"74,065,876",4,Evil Dead,"54,239,856","17,000,000",TriStar Pictures,R,91,57,6.5,Jane Levy
Zoolander,"74,020,943",2,Zoolander,"45,172,250","28,000,000",Paramount Pictures,PG-13,90,61,6.5,Ben Stiller
47 Meters Down,"66,568,091",2,47 Meters Down,"44,307,191","5,300,000",Entertainment Studios Motion Pictures,PG-13,89,52,5.6,Mandy Moore
Terrifier,"65,283,516",4,Terrifier 3,"53,981,071","2,000,000",Cineverse,NR,125,62,6.3,Lauren LaVera
House Party,"65,105,500",3,House Party,"26,385,627","2,500,000",New Line Cinema,R,100,76,6.5,Christopher Reid
Three Flavours Cornetto,"64,103,475",4,The World's End,"26,004,851","20,000,000",Focus Features,R,109,81,6.9,Simon Pegg
Hot Tub Time Machine,"62,602,207",2,Hot Tub Time Machine,"50,287,556","36,000,000",Metro-Goldwyn-Mayer(MGM),R,99,63,6.4,John Cusack
Tomb Raider,"58,250,803",1,Tomb Raider,"58,250,803","94,000,000",Warner Bros.,PG-13,119,48,6.3,Alicia Vikander
A Haunted House,"57,371,169",2,A Haunted House,"40,041,683","2,500,000",Open Road Films,R,86,20,5.1,Marlon Wayans
The Last Exorcism,"56,213,652",2,The Last Exorcism,"41,034,350","1,800,000",Lionsgate,PG-13,87,63,5.7,Patrick Fabian
Meatballs,"50,604,203",3,Meatballs,"43,046,003","1,600,000",Paramount Pictures,R,94,60,6.2,Bill Murray
Super Troopers,"49,109,758",2,Super Troopers 2,"30,617,396","13,000,000",Twentieth Century Fox,R,100,41,6,Jay Chandrasekhar
Hellraiser,"48,526,609",4,Hellraiser,"14,564,027","1,000,000",New World Pictures,R,94,56,6.9,Andrew Robinson
The Boy,"48,431,092",2,The Boy,"35,819,556","10,000,000",STX Entertainment,PG-13,97,42,6,Lauren Cohan
Universal Soldier,"46,973,251",3,Universal Soldier,"36,299,898","23,000,000",TriStar Pictures,R,102,35,6.1,Jean-Claude Van Damme
Highlander,"46,571,278",4,Highlander II: The Quickening,"15,556,340","34,000,000",InterStar Releasing,R,91,31,4.2,Christopher Lambert
Fright Night,"46,208,628",3,Fright Night,"24,922,237","9,000,000",Columbia Pictures,R,106,62,7,Chris Sarandon
3 Ninjas,"41,588,439",4,3 Ninjas,"29,000,301","2,500,000",Walt Disney Studios Motion Pictures,PG,84,36,5.3,Victor Wong
Unfriended,"41,348,835",2,Unfriended,"32,482,090","1,000,000",Universal Pictures,R,83,59,5.6,Heather Sossaman
Johnny English,"40,800,506",3,Johnny English,"28,082,366","40,000,000",Universal Pictures,PG,89,51,6.3,Rowan Atkinson
Missing in Action,"39,761,759",3,Missing in Action,"22,812,411","2,550,000",Cannon Film Distributors,R,101,43,5.4,Chuck Norris
The Neverending Story,"37,565,908",3,The NeverEnding Story,"20,158,808","27,000,000",Warner Bros.,PG,102,49,7.3,Noah Hathaway
Iron Eagle,"37,174,796",3,Iron Eagle,"24,159,872","10,000,000",TriStar Pictures,PG-13,117,41,5.5,Louis Gossett Jr.
Index,"36,290,546",3,MaXXXine,"15,097,632","15,000,000",A24,R,103,64,6.2,Mia Goth
Machete,"34,601,807",2,Machete,"26,593,646","10,500,000",Twentieth Century Fox,R,105,60,6.6,Danny Trejo
Care Bears,"34,082,968",3,The Care Bears Movie,"22,934,622","2,000,000",The Samuel Goldwyn Company,PG,77,46,5.6,Georgia Engel
Earth,"32,092,921",2,Earth,"32,011,576","47,000,000",Walt Disney Studios Motion Pictures,G,90,72,7.9,James Earl Jones
An Inconvenient Franchise,"27,642,956",2,An Inconvenient Truth,"24,146,161","1,500,000",Paramount Classics,PG,96,75,7.4,Al Gore
Return of the Living Dead,"23,498,011",3,The Return of the Living Dead,"14,237,880","4,000,000",Orion Pictures,R,91,66,7.3,Clu Gulager
Millennium,"22,923,607",3,The Girl with the Dragon Tattoo,"10,095,170","13,000,000",Music Box Films,R,152,76,7.8,Noomi Rapace
Mechanic,"21,225,799",2,Mechanic: Resurrection,"21,218,403","40,000,000",Lionsgate,R,98,38,5.7,Jason Statham
No Manches Frida,"20,799,533",2,No Manches Frida,"11,528,613",N/A,Pantelion Films,PG-13,114,38,5.5,Omar Chaparro
Before,"19,470,681",3,Before Midnight,"8,114,627","3,000,000",Sony Pictures Classics,R,109,94,7.9,Ethan Hawke
RiffTrax,"18,533,257",7,Krull,"16,519,460","30,000,000",Columbia Pictures,PG,116,45,6.1,Ken Marshall
American Ninja,"15,759,893",4,American Ninja,"10,499,694","1,000,000",Cannon Film Distributors,R,95,20,5.5,Michael Dudikoff
Dhoom,"10,921,297",3,Dhoom 3,"8,031,955","11,742,790",Yash Raj Films,NR,172,61,5.4,Aamir Khan
Atlas Shrugged Franchise,"8,810,132",3,Atlas Shrugged: Part I,"4,627,375","20,000,000",Rocky Mountain Pictures,PG-13,97,28,5.6,Taylor Schilling
Raid,"6,732,396",2,The Raid: Redemption,"4,105,187","1,000,000",Sony Pictures Releasing,R,101,73,7.6,Iko Uwais
The Work and the Glory,"6,697,771",3,The Work and the Glory,"3,347,647","7,500,000",Excel Entertainment,PG-13,118,54,6.5,Jonathan Scaffe
The Trip,"6,069,103",3,The Trip to Italy,"2,880,537",N/A,IFC Films,NR,108,75,6.6,Steve Coogan
Ong Bak,"4,680,515",3,Ong-Bak: The Thai Warrior,"4,563,167","1,000,000",Magnolia Pictures,R,108,69,7.1,Tony Jaa
Ip Man Franchise,"2,922,996",3,Ip Man 3,"2,679,437","36,000,000",Well Go USA Entertainment,PG-13,105,57,7,Donnie Yen
Chal Mera Putt,"1,089,000",2,Chal Mera Putt 3,"644,000","1,056,852",Rhythm Boyz Entertainment,NR,130,60,7,Amrinder Gill
Shiloh,"1,066,768",2,Shiloh,"1,007,822","7,000,000",Legacy Releasing Corporation,PG,93,65,6.3,Blake Heron
Evangelion,"416,382",3,Evangelion: 3.0 You Can (Not) Redo,"174,945","13,000,000",Eleven Arts,PG-13,96,45,6.9,Megumi Ogata
V/H/S,"124,934",3,V/H/S,"100,345","242,000",Magnolia Pictures,R,116,54,5.8,Calvin Lee Reeder